CO2Air,TAir,TTop,TCan
1320.906391,21.30000002,22.30000002,22.30000002
1311.9084,21.49999999,22.49999999,22.49999999
1200.3332,21.6,22.6,22.6
1248.922404,21.60000001,22.60000001,22.60000001
1311.908392,21.69999999,22.69999999,22.69999999
1245.323204,21.79999999,22.79999999,22.79999999
1239.9244,22.19999999,23.19999999,23.19999999
1270.517598,22.40000001,23.40000001,23.40000001
1202.1328,22.59999998,23.59999998,23.59999998
1203.9324,22.40000002,23.40000002,23.40000002
1178.738001,22.5,23.5,23.5
1149.9444,22.3,23.3,23.3
1124.749998,22.50000001,23.50000001,23.50000001
1092.357204,22.59999999,23.59999999,23.59999999
1074.361201,22.6,23.6,23.6
1029.371202,22.7,23.7,23.7
1047.3672,23,24,24
1041.968404,23.10000002,24.10000002,24.10000002
1083.359196,23.29999998,24.29999998,24.29999998
1002.377203,23.10000001,24.10000001,24.10000001
1016.774,23.1,24.1,24.1
1040.168808,23.70000001,24.70000001,24.70000001
1164.341183,23.89999997,24.89999997,24.89999997
1097.756004,23.9,24.9,24.9
1126.549599,24.29999999,25.29999999,25.29999999
1200.333194,24.70000001,25.70000001,25.70000001
1020.373197,24.89999996,25.89999996,25.89999996
993.3792027,24.50000004,25.50000004,25.50000004
1126.549596,23.80000002,24.80000002,24.80000002
1139.1468,24.4,25.4,25.4
1090.557604,24.30000001,25.30000001,25.30000001
1153.543592,24.39999999,25.39999999,25.39999999
1072.561605,24.49999999,25.49999999,25.49999999
1155.343197,23.90000002,24.90000002,24.90000002
1160.742001,23.79999999,24.79999999,24.79999999
1180.537602,23.49999999,24.49999999,24.49999999
1203.932398,23.40000001,24.40000001,24.40000001
1254.321198,23.20000001,24.20000001,24.20000001
1173.3392,22.9,23.9,23.9
1207.5316,22.6,23.6,23.6
1200.333201,22.6,23.6,23.6
1155.343203,22.40000001,23.40000001,23.40000001
1139.146801,22.59999999,23.59999999,23.59999999
1151.743997,22.80000001,23.80000001,23.80000001
1059.964403,23.19999997,24.19999997,24.19999997
1088.757997,22.90000003,23.90000003,23.90000003
1094.1568,23.19999999,24.19999999,24.19999999
1056.3652,22.9,23.9,23.9
1007.776002,23.00000001,24.00000001,24.00000001
1030.570934,23.13333334,24.13333334,24.13333334
1053.365867,23.26666667,24.26666667,24.26666667
1076.160799,23.4,24.4,24.4
1025.772,23.69999999,24.69999999,24.69999999
1020.373203,23.50000004,24.50000004,24.50000004
1054.565597,23.89999996,24.89999996,24.89999996
1112.152798,24.29999999,25.29999999,25.29999999
1016.774,24.7,25.7,25.7
966.3851994,24.40000001,25.40000001,25.40000001
957.3872012,24.59999997,25.59999997,25.59999997
962.7859996,24.79999999,25.79999999,25.79999999
991.579599,24.8,25.8,25.8
1043.767999,24.60000002,25.60000002,25.60000002
1014.974394,25.19999993,26.19999993,26.19999993
957.3872058,24.50000007,25.50000007,25.50000007
989.7799989,24.20000001,25.20000001,25.20000001
989.78,24.1,25.1,25.1
1049.1668,23.90000002,24.90000002,24.90000002
1050.9664,24.19999996,25.19999996,25.19999996
993.3792039,24.69999997,25.69999997,25.69999997
1014.974399,24.50000001,25.50000001,25.50000001
1050.966399,24.60000001,25.60000001,25.60000001
1009.575599,24.89999994,25.89999994,25.89999994
995.1788014,24.30000006,25.30000006,25.30000006
1009.5756,24.2,25.2,25.2
1068.9624,24.2,25.2,25.2
1040.168802,24.09999999,25.09999999,25.09999999
1067.162796,23.90000003,24.90000003,24.90000003
1056.365201,23.60000002,24.60000002,24.60000002
1059.9644,23.40000001,24.40000001,24.40000001
1043.768,23.30000001,24.30000001,24.30000001
1034.769999,23.49999999,24.49999999,24.49999999
1025.772001,23.40000001,24.40000001,24.40000001
1020.3732,23.3,24.3,24.3
1009.5756,23.1,24.1,24.1
1041.9684,22.90000003,23.90000003,23.90000003
1043.768,23.29999995,24.29999995,24.29999995
1005.976403,23.39999999,24.39999999,24.39999999
1007.776,23.10000001,24.10000001,24.10000001
1025.772,22.90000001,23.90000001,23.90000001
1031.170802,23.09999998,24.09999998,24.09999998
1047.367198,22.90000002,23.90000002,23.90000002
1054.5656,22.8,23.8,23.8
1029.3712,22.8,23.8,23.8
1023.9724,22.89999997,23.89999997,23.89999997
1016.774001,22.50000005,23.50000005,23.50000005
1067.162797,22.69999999,23.69999999,23.69999999
1047.367201,22.30000001,23.30000001,23.30000001
1088.758002,22.6,23.6,23.6
1133.747997,22.59999997,23.59999997,23.59999997
1108.553603,22.30000003,23.30000003,23.30000003
1162.541598,22.49999999,23.49999999,23.49999999
1184.1368,22.5,23.5,23.5
1207.5316,22.70000001,23.70000001,23.70000001
1200.333201,22.79999999,23.79999999,23.79999999
1230.926398,22.8,23.8,23.8
1209.331201,22.7,23.7,23.7
1162.541599,22.40000001,23.40000001,23.40000001
1144.5456,22.59999999,23.59999999,23.59999999
1146.3452,22.50000001,23.50000001,23.50000001
1115.752001,22.79999999,23.79999999,23.79999999
1122.9504,22.9,23.9,23.9
1182.337202,22.90000003,23.90000003,23.90000003
1207.531597,23.39999993,24.39999993,24.39999993
1094.156808,23.20000001,24.20000001,24.20000001
1095.9564,23.39999999,24.39999999,24.39999999
1124.749999,23.4,24.4,24.4
1101.355202,23.5,24.5,24.5
1117.551598,23.5,24.5,24.5
1104.9544,23.4,24.4,24.4
1128.3492,23.2,24.2,24.2
1164.3412,23.20000001,24.20000001,24.20000001
1160.742,23.29999999,24.29999999,24.29999999
1164.3412,23.00000002,24.00000002,24.00000002
1173.3392,23.1,24.1,24.1
1099.5556,23.30000001,24.30000001,24.30000001
1092.357201,23.59999999,24.59999999,24.59999999
1099.555599,23.50000001,24.50000001,24.50000001
1110.3532,23.4,24.4,24.4
1130.1488,23.5,24.5,24.5
1137.347206,23.20000002,24.20000002,24.20000002
1220.128789,23.49999996,24.49999996,24.49999996
1241.723999,23.59999999,24.59999999,24.59999999
1203.932401,23.7,24.7,24.7
1419.884393,23.9,24.9,24.9
1223.728007,23.99999999,24.99999999,24.99999999
1295.711993,23.90000001,24.90000001,24.90000001
1212.930403,24.09999999,25.09999999,25.09999999
1301.1108,23.8,24.8,24.8
1202.132809,23.89999999,24.89999999,24.89999999
1340.701981,23.80000001,24.80000001,24.80000001
1218.329208,23.70000001,24.70000001,24.70000001
1279.515598,23.40000001,24.40000001,24.40000001
1212.930403,23.4,24.4,24.4
1302.910395,23.39999998,24.39999998,24.39999998
1250.722005,23.20000002,24.20000002,24.20000002
1297.511598,23.2,24.2,24.2
1200.3332,23,24,24
1297.511596,22.80000001,23.80000001,23.80000001
1239.924408,22.89999999,23.89999999,23.89999999
1254.321199,22.60000002,23.60000002,23.60000002
1283.114799,22.40000001,23.40000001,23.40000001
1238.124806,22.4,23.4,23.4
1409.086786,22.39999997,23.39999997,23.39999997
1266.918414,22.10000003,23.10000003,23.10000003
1218.329202,22,23,23
1126.5496,22.1,23.1,23.1
1079.760002,22.10000001,23.10000001,23.10000001
1112.152796,22.29999997,23.29999997,23.29999997
1081.559602,22.3,23.3,23.3
1061.764001,22.3,23.3,23.3
1052.766,22.3,23.3,23.3
1047.367199,22.19999999,23.19999999,23.19999999
1036.569601,22.10000001,23.10000001,23.10000001
1025.772,22.1,23.1,23.1
1036.5696,22.2,23.2,23.2
995.1787978,22.09999999,23.09999999,23.09999999
962.7860043,22.00000001,23.00000001,23.00000001
977.182799,21.80000001,22.80000001,22.80000001
968.1848003,21.9,22.9,22.9
957.3871999,21.8,22.8,22.8
955.5875984,21.8,22.8,22.8
939.3912016,21.8,22.8,22.8
926.7940004,21.60000001,22.60000001,22.60000001
924.9944,21.6,22.6,22.6
925.8941999,21.5,22.5,22.5
926.7939999,21.5,22.5,22.5
910.5976011,21.5,22.5,22.5
901.5996003,21.6,22.6,22.6
908.7980004,21.4,22.4,22.4
919.5955984,21.49999999,22.49999999,22.49999999
903.3992016,21.40000001,22.40000001,22.40000001
887.2028005,21.3,22.3,22.3
898.0004,21.3,22.3,22.3
896.2008,21.40000001,22.40000001,22.40000001
896.2008,21.49999999,22.49999999,22.49999999
865.6076021,21.30000001,22.30000001,22.30000001
878.2047996,21.3,22.3,22.3
874.6056,21.39999999,22.39999999,22.39999999
874.6055978,21.2,22.2,22.2
853.0104022,21.2,22.2,22.2
856.6095999,21.3,22.3,22.3
840.4132,21.3,22.3,22.3
856.6096004,21.2,22.2,22.2
862.0083993,21.2,22.2,22.2
840.4132014,21.2,22.2,22.2
840.4132,21.00000001,22.00000001,22.00000001
838.6135999,21.1,22.1,22.1
835.0144002,21,22,22
836.8139998,21,22,22
849.4111996,21,22,22
811.6196,21,22,22
822.4172011,20.89999999,21.89999999,21.89999999
838.6135978,20.80000001,21.80000001,21.80000001
831.4152005,20.70000001,21.70000001,21.70000001
